CCTV频道,#genre#
CCTV-1,http://[2409:8087:74d9:21::6]:80/270000001128/9900000001/index.m3u8
CCTV-2,http://[2409:8087:74d9:21::6]:80/270000001128/9900000502/index.m3u8
CCTV-3,http://[2409:8087:74d9:21::6]:80/270000001128/9900000003/index.m3u8
CCTV-4,http://[2409:8087:74d9:21::6]:80/270000001128/9900000503/index.m3u8
CCTV-5,http://[2409:8087:74d9:21::6]:80/270000001128/9900000005/index.m3u8
CCTV-5+,http://[2409:8087:74d9:21::6]:80/270000001128/9900000507/index.m3u8
CCTV-6,http://[2409:8087:74d9:21::6]:80/270000001128/9900000006/index.m3u8
CCTV-7,http://[2409:8087:74d9:21::6]:80/270000001128/9900000504/index.m3u8
CCTV-8,http://[2409:8087:74d9:21::6]:80/270000001128/9900000008/index.m3u8
CCTV-9,http://[2409:8087:74d9:21::6]:80/270000001128/9900000505/index.m3u8
CCTV-10,http://[2409:8087:74d9:21::6]:80/270000001128/9900000506/index.m3u8
CCTV-11,http://[2409:8087:74d9:21::6]:80/270000001128/9900000508/index.m3u8
CCTV-12,http://[2409:8087:74d9:21::6]:80/270000001128/9900000509/index.m3u8
CCTV-13,http://[2409:8087:74d9:21::6]:80/270000001128/9900000510/index.m3u8
CCTV-14,http://[2409:8087:74d9:21::6]:80/270000001128/9900000511/index.m3u8
CCTV-15,http://[2409:8087:74d9:21::6]:80/270000001128/9900000512/index.m3u8
CCTV-16,http://[2409:8087:74d9:21::6]:80/270000001128/9900000016/index.m3u8
CCTV-17,http://[2409:8087:74d9:21::9]:80/270000001128/9900000513/index.m3u8
CCTV-4K,http://liveop.cctv.cn/hls/4KHD/playlist.m3u8

CCTV-高尔夫网球,http://[2409:8087:74d9:21::6]:80/270000001128/9900000094/index.m3u8

CETV-1,http://[2409:8087:74d9:21::6]:80/270000001128/9900000046/index.m3u8
CETV-2,http://[2409:8087:74d9:21::6]:80/270000001128/9900000071/index.m3u8
CETV-4,http://[2409:8087:74d9:21::6]:80/270000001128/9900000072/index.m3u8




卫视频道,#genre#
山东卫视,http://[2409:8087:74d9:21::6]:80/270000001128/9900000527/index.m3u8
重庆卫视,http://[2409:8087:74d9:21::6]:80/270000001128/9900000517/index.m3u8
北京卫视,http://[2409:8087:74d9:21::6]:80/270000001128/9900000516/index.m3u8
湖南卫视,http://[2409:8087:74d9:21::6]:80/270000001128/9900000523/index.m3u8
东方卫视,http://[2409:8087:74d9:21::6]:80/270000001128/9900000518/index.m3u8
四川卫视,http://[2409:8087:74d9:21::6]:80/270000001128/9900000025/index.m3u8
天津卫视,http://[2409:8087:74d9:21::6]:80/270000001128/9900000530/index.m3u8
安徽卫视,http://[2409:8087:74d9:21::6]:80/270000001128/9900000514/index.m3u8
深圳卫视,http://[2409:8087:74d9:21::6]:80/270000001128/9900000529/index.m3u8
广东卫视,http://[2409:8087:74d9:21::6]:80/270000001128/9900000520/index.m3u8
广西卫视,http://[2409:8087:74d9:21::6]:80/270000001128/9900000034/index.m3u8
江苏卫视,http://[2409:8087:74d9:21::6]:80/270000001128/9900000524/index.m3u8
江西卫视,http://[2409:8087:74d9:21::6]:80/270000001128/9900000525/index.m3u8
河北卫视,http://[2409:8087:74d9:21::6]:80/270000001128/9900000057/index.m3u8
河南卫视,http://[2409:8087:74d9:21::6]:80/270000001128/9900000027/index.m3u8
浙江卫视,http://[2409:8087:74d9:21::6]:80/270000001128/9900000531/index.m3u8
海南卫视,http://[2409:8087:74d9:21::6]:80/270000001128/9900000037/index.m3u8
湖北卫视,http://[2409:8087:74d9:21::6]:80/270000001128/9900000522/index.m3u8
山西卫视,http://[2409:8087:74d9:21::9]:80/270000001128/9900000053/index.m3u8
东南卫视,http://[2409:8087:74d9:21::6]:80/270000001128/9900000519/index.m3u8
贵州卫视,http://[2409:8087:74d9:21::6]:80/270000001128/9900000036/index.m3u8
辽宁卫视,http://[2409:8087:74d9:21::6]:80/270000001128/9900000526/index.m3u8
黑龙江卫视,http://[2409:8087:74d9:21::6]:80/270000001128/9900000521/index.m3u8
内蒙古卫视,http://[2409:8087:74d9:21::6]:80/270000001128/9900000044/index.m3u8
宁夏卫视,http://[2409:8087:74d9:21::6]:80/270000001128/9900000047/index.m3u8
陕西卫视,http://[2409:8087:74d9:21::6]:80/270000001128/9900000026/index.m3u8
吉林卫视,http://[2409:8087:74d9:21::6]:80/270000001128/9900000030/index.m3u8
甘肃卫视,http://[2409:8087:74d9:21::6]:80/270000001128/9900000023/index.m3u8
云南卫视,http://[2409:8087:74d9:21::6]:80/270000001128/9900000035/index.m3u8
三沙卫视,http://[2409:8087:5e00:24::1e]:6060/000000001000/4600001000000000117/1.m3u8
青海卫视,http://[2409:8087:74d9:21::6]:80/270000001128/9900000042/index.m3u8
新疆卫视,http://[2409:8087:74d9:21::6]:80/270000001128/9900000045/index.m3u8
西藏卫视,http://[2409:8087:74d9:21::6]:80/270000001128/9900000043/index.m3u8
